HIP00110,0
HIP00169,0
HIP00594,1
HIP00602,0
HIP00614,0
HIP00640,0
HIP00707,1
HIP00710,0
HIP00715,0
HIP00728,0
HIP00734,1
HIP00761,1
HIP00769,0
HIP00771,0
HIP00773,0
HIP00775,1
HIP00777,0
HIP00779,1
HIP00805,0
HIP00813,1
HIP00819,0
HIP00822,0
HIP00825,0
HIP00826,0
HIP00832,0
HIP00838,1
HIP00851,1
HIP00869,0
HIP00898,1
HIP00904,0
HIP00924,1
HIP00926,0
HIP00934,0
HIP00951,1
HIP00971,1
HIP00985,1
HIP00997,0
HIP00999,0
HIP01004,0
HIP01022,0
HIP01055,0
HIP01091,1
HIP01129,0
HIP01140,0
HIP01160,0
HIP01161,0
HIP01162,0
HIP01180,0
HIP01181,1
HIP01197,0
HIP01206,0
HIP01218,0
HIP01219,1
HIP01220,1
HIP01223,1
HIP01232,1
HIP01253,0
HIP01255,0
HIP01264,0
HIP01266,0
HIP01298,NA
HIP01313,0
HIP01359,0
HIP01384,1
HIP01391,0
HIP01392,0
HIP01393,0
HIP01465,1
HIP01470,0
HIP01499,0
HIP01501,1
HIP01571,0
HIP01582,0
HIP01596,0
HIP01597,0
HIP01765,1
HIP01795,0
HIP01797,0
HIP01798,0
HIP01805,0
HIP01820,0
HIP01850,1
HIP01856,1
HIP01865,1
HIP01867,0
HIP01870,0
HIP01947,1
HIP02024,1
HIP02078,1
HIP02090,0
HIP02103,0
HIP02112,0
HIP02126,1
HIP02271,1
HIP02663,1
HIP02734,0
HIP02737,0
HIP02742,0
HIP02780,0
HIP02790,0
HIP02805,0
HIP02811,0
HIP02820,0
HIP02848,0
HIP02855,0
HIP02873,1
HIP02875,0
HIP02877,0
HIP02928,1
HIP02931,0
HIP02947,1
HIP02962,1
HIP02997,1
HIP03004,0
HIP03099,0
HIP03107,0
HIP03111,0
HIP03125,0
HIP03184,0
HIP03194,1
HIP03197,0
HIP03216,1
HIP03228,0
HIP03233,1
HIP03236,0
HIP03275,1
HIP03370,1
HIP03378,1
HIP03381,1
HIP03383,0
HIP03385,0
HIP03484,0
HIP03494,0
HIP03495,1
HIP03502,0
HIP03505,0
HIP03511,1
HIP03591,0
HIP03592,0
HIP03597,0
HIP03618,1
HIP03628,1
HIP03630,1
HIP03651,0
HIP03677,1
HIP03678,0
HIP03685,0
HIP03693,0
HIP03695,1
HIP03720,1
HIP03732,0
HIP03746,0
HIP03807,1
HIP03812,0
HIP03814,0
HIP04455,1
HIP04464,1
HIP04471,0
HIP04475,0
HIP04480,0
HIP04498,0
HIP04509,1
HIP04510,1
HIP04511,1
HIP04527,1
HIP04532,0
HIP04545,0
HIP04552,0
HIP04555,1
HIP04576,0
HIP04578,1
HIP04597,0
HIP04605,1
HIP04611,0
HIP04634,1
HIP04958,0
HIP05311,1
HIP05331,1
HIP05377,0
HIP05388,0
HIP05390,0
HIP05398,0
HIP05405,1
HIP05409,0
HIP05434,1
HIP05437,0
HIP05444,0
HIP05455,1
HIP05460,1
HIP05467,1
HIP05524,0
HIP05533,0
HIP05535,1
HIP05540,0
HIP05551,1
HIP05552,0
HIP05559,1
HIP05561,0
HIP05563,1
HIP05574,0
HIP05578,0
HIP05590,1
HIP05595,1
HIP05665,0
HIP05757,0
HIP05763,0
HIP05815,0
HIP05817,0
HIP05832,1
HIP05838,0
HIP05841,1
HIP05934,0
HIP05941,0
HIP05942,1
HIP05948,0
HIP05960,1
HIP06191,0
HIP07754,0
HIP08076,0
HIP08200,0
HIP08223,0
HIP08230,0
HIP08236,0
HIP08305,1
HIP08337,1
HIP08339,0
HIP08345,0
HIP08346,0
HIP08389,0
HIP08399,0
HIP08400,1
HIP08439,0
HIP08499,1
HIP08507,0
HIP08521,1
HIP08596,1
HIP08598,1
HIP08653,1
HIP08702,1
HIP08710,0
HIP08711,0
HIP08725,1
HIP08792,1
HIP08805,0
HIP08816,0
HIP08821,1
HIP08827,1
HIP08888,0
HIP08890,1
HIP08972,0
HIP08977,0
HIP08986,1
HIP08989,0
HIP09001,0
HIP09020,1
HIP09022,1
HIP09026,1
HIP09029,0
HIP09041,0
HIP09046,0
HIP09051,1
HIP09062,1
HIP09097,0
HIP09118,0
HIP09119,0
HIP09122,0
HIP09150,1
HIP09159,0
HIP09190,1
HIP09235,1
HIP09253,0
HIP09284,0
HIP09344,0
HIP09364,0
HIP09365,1
HIP09366,1
HIP09430,1
HIP09559,0
HIP09624,1
HIP09681,1
HIP09775,1
HIP09789,1
HIP10358,0
